Unnamed: 0,ID,Name,Sex,Age,NOC,Team,Sport,Event,Medal,Year,Season,Height,Weight,Games,City,region,notes
1134,1553472,BECK Alex,Male,29.0,AUS,Australia,Athletics,Men's 400m,,2020,Summer,,,2020 Summer,Tokyo,Australia,
1135,1350600,BECK Leonie,Female,24.0,GER,Germany,Marathon Swimming,Women's 10km,,2020,Summer,,,2020 Summer,Tokyo,Germany,
1136,1302235,BECKER Bowen,Male,24.0,USA,United States,Swimming,Men's 4 x 100m Freestyle Relay Team,Gold,2020,Summer,,,2020 Summer,Tokyo,USA,
1137,1330502,BECKER Charlotte,Female,38.0,GER,Germany,Cycling Track,Women's Team Pursuit Team,Gold,2020,Summer,,,2020 Summer,Tokyo,Germany,
1138,1281527,BECKER Sophie,Female,24.0,IRL,Ireland,Athletics,4 x 400m Relay Mixed Team,,2020,Summer,,,2020 Summer,Tokyo,Ireland,
1139,1469399,BECKIE Janine,Female,26.0,CAN,Canada,Football,Women Team,Gold,2020,Summer,,,2020 Summer,Tokyo,Canada,
1140,1366725,BECKMANN Emilie,Female,24.0,DEN,Denmark,Swimming,Women's 100m Butterfly,,2020,Summer,,,2020 Summer,Tokyo,Denmark,
1141,1366725,BECKMANN Emilie,Female,24.0,DEN,Denmark,Swimming,Women's 4 x 100m Medley Relay Team,,2020,Summer,,,2020 Summer,Tokyo,Denmark,
1142,1365661,BEDDOES Alex,Male,26.0,COK,Cook Islands,Athletics,Men's 800m,,2020,Summer,,,2020 Summer,Tokyo,Cook Islands,
1143,1353789,BEDNARCZUK Agatha,Female,38.0,BRA,Brazil,Beach Volleyball,Women Team,,2020,Summer,,,2020 Summer,Tokyo,Brazil,
1144,1458427,BEDNAREK Kenneth,Male,22.0,USA,United States,Athletics,Men's 200m,Silver,2020,Summer,,,2020 Summer,Tokyo,USA,
1145,1391250,BEDRANI Djilali,Male,27.0,FRA,France,Athletics,Men's 3000m Steeplechase,,2020,Summer,,,2020 Summer,Tokyo,France,
1146,1481459,BEER Ellie,Female,18.0,AUS,Australia,Athletics,Women's 4 x 400m Relay Team,,2020,Summer,,,2020 Summer,Tokyo,Australia,
1147,1334162,BEER Jolyn,Female,27.0,GER,Germany,Shooting,10m Air Rifle Women,,2020,Summer,,,2020 Summer,Tokyo,Germany,
